[DEBUG] [2021-06-30 12:00:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 4453422c65ed4aea8934110f41d01174, msgType : 19
[DEBUG] [2021-06-30 12:04:19] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 6eb19028607e4ea2a73021d296f32ecf, msgType : 19
[DEBUG] [2021-06-30 12:04:19] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : b8a9935e6a76417190f09527d7043049, msgType : 19
[DEBUG] [2021-06-30 12:04:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 82bb8eed83af444b9d238cd4839b1ab3, msgType : 19
[DEBUG] [2021-06-30 12:04:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : ef2950ae24594123b43e345a6da52ae9, msgType : 19
[DEBUG] [2021-06-30 12:04:23] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : ee20c90766c243f2a8ffbdb424823c95, msgType : 19
[DEBUG] [2021-06-30 12:04:23] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : e97c7811f7414e32b441b58d80d8bf8c, msgType : 19
[DEBUG] [2021-06-30 12:04:25] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 8f9b2f8d824a4c659c4fdb2348b25703, msgType : 19
[DEBUG] [2021-06-30 12:04:25] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 510fe5ee461c4a22b249645dceb7dcf4, msgType : 19
[DEBUG] [2021-06-30 12:04:27] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : adc1f404402c4937b667fd0dca2ec286, msgType : 19
[DEBUG] [2021-06-30 12:04:27] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 243ad5de43394666816fdf5186e36f23, msgType : 19
[DEBUG] [2021-06-30 12:04:29] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 01cce54a8d9e46b4848550b00c1466e2, msgType : 19
[DEBUG] [2021-06-30 12:04:29] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : dcba3ee30cce4ac78e02abe33f3fdc95, msgType : 19
[DEBUG] [2021-06-30 12:04:31] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 9fd0960b8f684007a9b4deabf0823b6f, msgType : 19
[DEBUG] [2021-06-30 12:04:31] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 261c50e3d8e4417f9fe6daf1c563fe55, msgType : 19
[DEBUG] [2021-06-30 12:04:33] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 4f28c92737f844ccb62de73ff0dd2542, msgType : 19
[DEBUG] [2021-06-30 12:04:33] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 40654d3ccdac48ebb76364c61372aea5, msgType : 19
[DEBUG] [2021-06-30 12:04:35] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : c1100bf6ee7c4bf0a9fbd8ed595d7141, msgType : 19
[DEBUG] [2021-06-30 12:04:35] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : a96654a81512497681a0e05da32fd6a4, msgType : 19
[DEBUG] [2021-06-30 12:04:37] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 09e929ee45ea4190b07a8a69e2c7d2ce, msgType : 19
[DEBUG] [2021-06-30 12:04:37] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 8ccc911e11f84fdd9ada82208d0f5d2a, msgType : 19
[DEBUG] [2021-06-30 12:04:39] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 0d8dc761f4c245609198d1c24a722e06, msgType : 19
[DEBUG] [2021-06-30 12:04:39] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 010fb82dc4a1499bad945edf3da5b42a, msgType : 19
[DEBUG] [2021-06-30 12:04:41] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : b4cf9bd0854e4e90a6c642b0fa56908c, msgType : 19
[DEBUG] [2021-06-30 12:04:41] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 6bb4e5c0725741a2ad73109bd76cacf1, msgType : 19
[DEBUG] [2021-06-30 12:04:43] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 52900660bb6742aa9db8b69efc837273, msgType : 19
[DEBUG] [2021-06-30 12:04:43] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 8b7f886acbc24127a3461bba2e351c82, msgType : 19
[DEBUG] [2021-06-30 12:04:45] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 96e4d83b26f94e23b54d6c82b0fc8278, msgType : 19
[DEBUG] [2021-06-30 12:04:45] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : d095e548ae674fc6b1950d08484e8724, msgType : 19
[DEBUG] [2021-06-30 12:04:47] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 9804da134bee4e81b48f7109e8a7b75f, msgType : 19
[DEBUG] [2021-06-30 12:04:47] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 0e0c144542fb4c649ae9826e62b5d949, msgType : 19
[ERROR] [2021-06-30 12:05:03] ChannelHandler.userEventTriggered(58) |  idle state event:READER_IDLE connect127.0.0.1:20200 long time Inactive, disconnect
[DEBUG] [2021-06-30 12:05:03] ChannelHandler.channelInactive(128) |  channelInactive, disconnect 127.0.0.1:20200 ,true
[DEBUG] [2021-06-30 12:05:03] ConnectionManager.removeConnectionContext(438) |  result: true, host: 127.0.0.1, port: 20200, ctx: 1154836005
[DEBUG] [2021-06-30 12:05:03] ChannelMsgHandler.onDisconnect(163) | onDisconnect in ChannelMsgHandler called, host : 127.0.0.1:20200
[ERROR] [2021-06-30 12:05:03] ChannelHandler.userEventTriggered(58) |  idle state event:READER_IDLE connect127.0.0.1:20201 long time Inactive, disconnect
[DEBUG] [2021-06-30 12:05:03] ChannelHandler.channelInactive(128) |  channelInactive, disconnect 127.0.0.1:20201 ,true
